lp_id,subsection,language,final_path,canonical_url,primary_query,query_evidence_status,title,meta_description,h1,unique_module,primary_cta,cta_destination,proposed_indexation,indexation_reason,content_review_status,implementation_status,remaining_issues
DSCR-LP001,Experienced landlords,en,/dscr/experienced-landlords,https://stonehavencre.com/dscr/experienced-landlords,dscr loan for next rental property purchase,HYPOTHESIS (no Search Console access in this environment),DSCR for Your Next Rental Purchase | Stonehaven,"How experienced landlords can evaluate DSCR financing for the next rental: rent sensitivity, taxes, insurance, cash to close and reserves, compared honestly.",The next rental deserves its own financing review,Sensitivity checklist before you offer,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP002,Bridge and hard-money refinance,en,/dscr/bridge-loan-refinance,https://stonehavencre.com/dscr/bridge-loan-refinance,refinance hard money loan to dscr rental loan,HYPOTHESIS (no Search Console access in this environment),Refinance a Bridge or Hard-Money Loan to DSCR | Stonehaven,"Is the property ready for rental takeout? Payoff and maturity planning, property readiness, rent evidence and refinance cost review for bridge borrowers.",The rehab is finished. Review the financing for the hold,Readiness timeline for a rental takeout,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP003,Rental cash-out refinance,en,/dscr/cash-out-refinance,https://stonehavencre.com/dscr/cash-out-refinance,dscr cash out refinance rental property,HYPOTHESIS (no Search Console access in this environment),"Rental Cash-Out Refinance, Reviewed Honestly | Stonehaven","What changes if you refinance to access rental equity: current-loan versus refinance economics, net-proceeds components, and what the rental must still support.","Before the next purchase, review the equity math","Current loan versus proposed refinance, side by side",Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP004,Self-employed investors,en,/dscr/self-employed-investors,https://stonehavencre.com/dscr/self-employed-investors,dscr loan for self employed real estate investor,HYPOTHESIS (no Search Console access in this environment),DSCR for Self-Employed Rental Investors | Stonehaven,"How property-based underwriting compares with personal-income paths for self-employed rental buyers: what is documented, what still matters, what to compare.",Start the rental-loan conversation with the property,"What gets documented, path by path",Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP005,First-time rental investors,en,/dscr/first-time-investors,https://stonehavencre.com/dscr/first-time-investors,first rental property loan requirements dscr,HYPOTHESIS (no Search Console access in this environment),First Rental Property: DSCR and the Numbers | Stonehaven,"What a first-time rental investor must understand before financing: cash needs, reserves, program experience rules, and how first-timer definitions differ.",First rental? Start with the numbers,Before you finance a first rental,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP006,BRRRR refinance planning,en,/dscr/brrrr-refinance,https://stonehavencre.com/dscr/brrrr-refinance,brrrr refinance dscr seasoning requirements,HYPOTHESIS (no Search Console access in this environment),Planning the BRRRR Refinance Stage | Stonehaven,"How to plan the refinance stage across a BRRRR project: purchase, rehab, rent-up and refinance timeline with seasoning and valuation checkpoints.",The refinance deserves a plan of its own,"The four stages, with financing checkpoints",Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP007,Working professionals,en,/dscr/working-professionals,https://stonehavencre.com/dscr/working-professionals,rental property loan while working full time (hypothesis; overlaps LP001/LP004 intents),HYPOTHESIS (no Search Console access in this environment),Rental Financing Around a Full-Time Job | Stonehaven,"A practical workflow for organizing a rental-financing decision alongside a full-time job: what to prepare, what to compare, and what to decide once.",Another rental starts with a clear deal review,The one-evening preparation list,Review My Deal,/dscr-review,PROPOSED_NOINDEX,Useful ad LP; organic intent overlaps LP001/LP004; revisit after content proves,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP008,Out-of-state investors,en,/dscr/out-of-state-investors,https://stonehavencre.com/dscr/out-of-state-investors,buying rental property out of state financing dscr,HYPOTHESIS (no Search Console access in this environment),Financing an Out-of-State Rental | Stonehaven,"What local facts matter when financing a rental remotely: property-state availability, rent support, operating costs, and lender DSCR versus owner cash flow.",A different market. The same need for clear numbers,Lender DSCR versus owner cash flow,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP009,Portfolio growth,en,/dscr/portfolio-growth,https://stonehavencre.com/dscr/portfolio-growth,dscr vs portfolio loan multiple rental properties,HYPOTHESIS (no Search Console access in this environment),Portfolio Growth: DSCR vs Portfolio Loans | Stonehaven,"When to compare another single-property loan with portfolio or commercial financing: exposure limits, ownership, operational complexity and product routing.",More properties call for another financing comparison,Signals the architecture question has arrived,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP010,Long-term rental owners,en,/dscr/long-term-rentals,https://stonehavencre.com/dscr/long-term-rentals,dscr loan long term rental lease requirements,HYPOTHESIS (no Search Console access in this environment),DSCR for Long-Term Rentals: Lease and Costs | Stonehaven,"How lease terms, eligible rent and operating costs affect a DSCR review of a long-term rental, with management and maintenance clearly separated from the ratio.",Review the lease. Then review the loan,Lease and expense checklist for the review,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP011,Short-term rental operators,en,/dscr/short-term-rentals,https://stonehavencre.com/dscr/short-term-rentals,dscr loan for airbnb str income requirements,HYPOTHESIS (no Search Console access in this environment),DSCR for Short-Term Rentals: The Reality Check | Stonehaven,"What to verify before considering DSCR for an STR: legal use, documented income, seasonality, property restrictions and program experience rules.",An STR forecast needs a financing reality check,"The STR verification list, in order",Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP012,Rate-and-term refinance,en,/dscr/rate-and-term-refinance,https://stonehavencre.com/dscr/rate-and-term-refinance,refinance rental property loan break even dscr,HYPOTHESIS (no Search Console access in this environment),"Rental Rate-and-Term Refinance, Earned | Stonehaven","Would replacing the current rental loan improve the structure? Cost, payment, term and break-even comparison against keeping the loan you have.",A new rental loan should earn its place,The break-even worksheet,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP013,LLC and partnership owners,en,/dscr/llc-investors,https://stonehavencre.com/dscr/llc-investors,dscr loan llc entity requirements personal guarantee,HYPOTHESIS (no Search Console access in this environment),DSCR Loans and LLC Ownership | Stonehaven,"How entity ownership and borrower obligations interact on a DSCR loan: vesting, entity documents and guarantor questions, stated without nonrecourse promises.",Review the property and the ownership structure,Entity-document readiness list,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP014,2-4 unit investors,en,/dscr/2-4-unit-properties,https://stonehavencre.com/dscr/2-4-unit-properties,dscr loan 2-4 unit multifamily rent roll,HYPOTHESIS (no Search Console access in this environment),DSCR for 2-4 Unit Rentals | Stonehaven,"What changes when the rental has several units: rent-roll review, unit legality, occupancy and property-type checks for two-to-four-unit DSCR files.",Several rents. One financing decision,Rent-roll and unit review list,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP015,Cash buyers refinancing,en,/dscr/cash-purchase-refinance,https://stonehavencre.com/dscr/cash-purchase-refinance,delayed financing cash purchase refinance rental,HYPOTHESIS (no Search Console access in this environment),Bought With Cash? The Refinance Review | Stonehaven,"What to check before refinancing a cash acquisition: purchase documentation, ownership timing, valuation basis and how refinance structures differ.",Bought with cash? Review what comes next,The cash-purchase paper trail,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP016,Hold-or-sell decisions,en,/dscr/hold-or-sell,https://stonehavencre.com/dscr/hold-or-sell,refinance or sell rental property decision,HYPOTHESIS (no Search Console access in this environment),Hold or Sell the Rental: Match the Financing | Stonehaven,"How financing fits the intended holding period: a hold-versus-exit comparison with costs and prepayment exposure, without individualized tax conclusions.",Match the financing to the hold plan,"Hold against sell, in one frame",Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP017,Veteran investors,en,/dscr/veteran-investors,https://stonehavencre.com/dscr/veteran-investors,can veterans use va loan for rental property dscr alternative,HYPOTHESIS (no Search Console access in this environment),Veterans Financing a Rental: VA vs DSCR Facts | Stonehaven,"How financing a dedicated rental differs from a qualifying owner-occupied VA purchase: the accurate distinction, a rental scenario and a neutral comparison.",For veterans exploring a rental investment: start with the deal,Owner-occupied VA purchase versus investment financing,Review My Deal,/dscr-review,PROPOSED_INDEX,Distinct question and module per register,PENDING specialist review,"BUILT_ON_BRANCH (feat/dscr-persona-pages, not deployed)",Program facts pending per claims_register
DSCR-LP018,Spanish-preferring investors,es,/es/dscr,https://stonehavencre.com/es/dscr,prestamo dscr para propiedad de alquiler,HYPOTHESIS,Préstamos DSCR para propiedades de alquiler | Stonehaven,(existing page meta retained),Préstamos DSCR para propiedades de alquiler,Full natural-Spanish hub with FAQs and short answer,Revisar mi operación,/es/dscr-review,INDEXED_ALREADY (existing page),"Existing equivalent page audited: reciprocal hreflang with /dscr, es canonical, lang=es, FAQPage, PITIA defined, 1523 words",AUDITED 2026-09-13; native-speaker read still recommended,"LIVE (pre-existing page; audited, no changes needed)",None found in audit
